iata_code,municipality,country
FRD,Friday Harbor,United States of America
FRG,Farmingdale,United States of America
FRH,French Lick,United States of America
FRI,Fort Riley (Junction City),United States of America
FRM,Fairmont,United States of America
FRR,Front Royal,United States of America
FRY,Fryeburg,United States of America
FSD,Sioux Falls,United States of America
FSI,Fort Sill,United States of America
FSK,Fort Scott,United States of America
FSM,Fort Smith,United States of America
FST,Fort Stockton,United States of America
FSU,Fort Sumner,United States of America
FTK,Fort Knox,United States of America
FTW,Fort Worth,United States of America
FTY,Atlanta,United States of America
FUL,Fullerton,United States of America
FWA,Fort Wayne,United States of America
FWH,Fort Worth,United States of America
FWL,Farewell,United States of America
FXE,Fort Lauderdale,United States of America
FXY,Forest City,United States of America
FYM,Fayetteville,United States of America
FYU,Fort Yukon,United States of America
FYV,Fayetteville,United States of America
GAB,Gabbs,United States of America
GAD,Gadsden,United States of America
GAG,Gage,United States of America
GAI,Gaithersburg,United States of America
GAL,Galena,United States of America
GAM,Gambell,United States of America
GBD,Great Bend,United States of America
GBG,Galesburg,United States of America
GBH,Galbraith Lake,United States of America
GBR,Great Barrington,United States of America
GCC,Gillette,United States of America
GCD,Electric City,United States of America
GCK,Garden City,United States of America
GCN,Grand Canyon - Tusayan,United States of America
GCT,Littlefield,United States of America
GCW,Peach Springs,United States of America
GCY,Greeneville,United States of America
GDC,Greenville,United States of America
GDM,Gardner,United States of America
GDV,Glendive,United States of America
GDW,Gladwin,United States of America
GED,Georgetown,United States of America
GEG,Spokane,United States of America
GEY,Greybull,United States of America
GFD,Greenfield,United States of America
GFK,Grand Forks,United States of America
GFL,Glens Falls,United States of America
GGE,Georgetown,United States of America
GGG,Longview,United States of America
GGW,Glasgow,United States of America
GHM,Centerville,United States of America
GIF,Winter Haven,United States of America
GJT,Grand Junction,United States of America
GKN,Gulkana,United States of America
GKT,Sevierville,United States of America
GLB,Globe,United States of America
GLD,Goodland,United States of America
GLE,Gainesville,United States of America
GLH,Greenville,United States of America
GLR,Gaylord,United States of America
GLS,Galveston,United States of America
GLV,Golovin,United States of America
GLW,Glasgow,United States of America
GMT,Granite Mountain,United States of America
GMU,Greenville,United States of America
GMV,Oljato-Monument Valley,United States of America
GNF,Quincy,United States of America
GNG,Gooding,United States of America
GNT,Grants,United States of America
GNU,Goodnews,United States of America
GNV,Gainesville,United States of America
GOK,Guthrie,United States of America
GOL,Gold Beach,United States of America
GON,Groton,United States of America
GPT,Gulfport,United States of America
GPZ,Grand Rapids,United States of America
GQQ,Galion,United States of America
GRB,Green Bay,United States of America
GRD,Greenwood,United States of America
GRE,Greenville,United States of America
GRF,Fort Lewis/Tacoma,United States of America
GRI,Grand Island,United States of America
GRK,Fort Cavazos,United States of America
GRM,Grand Marais,United States of America
GRN,Gordon,United States of America
GRR,Grand Rapids,United States of America
GSB,Goldsboro,United States of America
GSH,Goshen,United States of America
GSO,Greensboro,United States of America
GSP,Greer,United States of America
GST,Gustavus,United States of America
GTF,Great Falls,United States of America
GTG,Grantsburg,United States of America
GTP,Grants Pass,United States of America
GTR,Columbus/W Point/Starkville,United States of America
GTY,Gettysburg,United States of America
GUC,Gunnison,United States of America
GUF,Gulf Shores,United States of America
GUP,Gallup,United States of America
GUS,Peru,United States of America
GUY,Guymon,United States of America
GVE,Gordonsville,United States of America
GVL,Gainesville,United States of America
GVT,Greenville,United States of America
GWO,Greenwood,United States of America
GWS,Glenwood Springs,United States of America
GWV,Glendale,United States of America
GXY,Greeley,United States of America
GYR,Goodyear,United States of America
GYY,Gary,United States of America
HAB,Hamilton,United States of America
HAF,Half Moon Bay,United States of America
HAI,Three Rivers,United States of America
HAO,Hamilton,United States of America
HAR,Harrisburg,United States of America
HBB,Hobbs,United States of America
HBG,Hattiesburg,United States of America
HBK,Holbrook,United States of America
HBR,Hobart,United States of America
HCA,Big Spring,United States of America
HCC,Hudson,United States of America
HCR,Holy Cross,United States of America
HCW,Cheraw,United States of America
HDE,Holdrege,United States of America
HDH,Mokuleia,United States of America
HDN,Hayden,United States of America
HED,Herendeen Bay,United States of America
HEE,West Helena,United States of America
HES,Hermiston,United States of America
HEZ,Natchez,United States of America
HFD,Hartford,United States of America
HFF,Hoffman,United States of America
HGR,Hagerstown,United States of America
HGZ,Hogatza,United States of America
HHH,Hilton Head Island,United States of America
HHI,Wahiawa,United States of America
HHR,Hawthorne,United States of America
HIB,Hibbing,United States of America
HIE,Whitefield,United States of America
HIF,Ogden,United States of America
HII,Lake Havasu City,United States of America
HIK,Honolulu,United States of America
HIO,Portland,United States of America
HKA,Blytheville,United States of America
HKB,Healy Lake,United States of America
HKS,Jackson,United States of America
HKY,Hickory,United States of America
HLB,Batesville,United States of America
HLC,Hill City,United States of America
HLG,Wheeling,United States of America
HLI,Hollister,United States of America
HLM,Holland,United States of America
HLN,Helena,United States of America
HMN,Alamogordo,United States of America
HMT,Hemet,United States of America
HNB,Huntingburg,United States of America
HNC,Hatteras,United States of America
HNH,Hoonah,United States of America
HNL,Honolulu,United States of America
HNM,Hana,United States of America
HNS,Haines,United States of America
HOB,Hobbs,United States of America
HOM,Homer,United States of America
HON,Huron,United States of America
HOP,Fort Campbell,United States of America
HOT,Hot Springs,United States of America
HOU,Houston,United States of America
HPB,Hooper Bay,United States of America
HPN,White Plains,United States of America
HPT,Hampton,United States of America
HPV,Hanalei,United States of America
HPY,Baytown,United States of America
HQM,Hoquiam,United States of America
HRL,Harlingen,United States of America
HRO,Harrison,United States of America
HSB,Harrisburg,United States of America
HSH,Las Vegas,United States of America
HSI,Hastings,United States of America
HSL,Huslia,United States of America
HSP,Hot Springs,United States of America
HST,Homestead,United States of America
HSV,Huntsville,United States of America
HTH,Hawthorne,United States of America
HTL,Houghton Lake,United States of America
HTO,East Hampton,United States of America
HTS,Huntington,United States of America
HTV,Huntsville,United States of America
HTW,South Point,United States of America
HUA,Redstone Arsnl Huntsville,United States of America
HUD,Humboldt,United States of America
HUF,Terre Haute,United States of America
HUJ,Hugo,United States of America
HUL,Houlton,United States of America
HUM,Houma,United States of America
